City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
531,Maine-Soroa,NE,78.6,few clouds,13.2114,12.0241,Complexe
534,Katherine,AU,79.12,light intensity shower rain,-14.4667,132.2667,Pine Tree Motel
544,Belmonte,BR,73.9,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
553,Cockburn Town,TC,79.79,few clouds,21.4612,-71.1419,Osprey Beach Hotel
555,Kutum,SD,74.86,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
565,Buchanan,LR,78.76,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
576,Teahupoo,PF,71.56,broken clouds,-17.8333,-149.2667,Vanira Lodge
580,Seddon,AU,70.3,clear sky,-37.8068,144.8916,Footscray Motor Inn
584,Luganville,VU,79.21,clear sky,-15.5333,167.1667,The Espiritu Hotel
586,Dosso,NE,77.52,overcast clouds,13.049,3.1937,Hotel Toubal
590,Puerto Carreno,CO,76.06,broken clouds,6.189,-67.4859,Casa Hotel Victoria
594,Galesong,ID,73.42,light rain,-5.3166,119.3661,Sapriadi Appy
597,Sindou,BF,77.67,few clouds,10.6667,-5.1667,LERABA HOTEL
598,Dwarka,IN,79.34,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
609,Tiarei,PF,77.02,broken clouds,-17.5333,-149.3333,Le Rocher de Tahiti
619,Bhiwani,IN,79.34,clear sky,28.7833,76.1333,Gaur Guest House
624,Carutapera,BR,75.79,overcast clouds,-1.195,-46.02,Lidera
625,Saint-Georges,GD,78.33,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
629,Trinidad,BO,73.89,overcast clouds,-14.8333,-64.9,Hotel Piesta
631,Benguela,AO,79.03,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
638,Cabo San Lucas,MX,75.51,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
644,Aracoiaba,BR,73.98,broken clouds,-4.3711,-38.8142,Bar Redondo e Pousada
645,Galeras,CO,74.61,overcast clouds,9.161,-75.0481,Finca el Naranjal
650,Wanning,CN,73.27,broken clouds,18.8003,110.3967,Paradise Hotel
660,Chunian,PK,74.53,clear sky,30.964,73.9803,Mitho Teeqia Wala
662,Riyadh,SA,73.54,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
665,Guilin,CN,73.51,clear sky,25.2819,110.2864,Grand 0773 Hotel
669,Broken Hill,AU,78.15,light rain,-31.95,141.4333,Royal Exchange Hotel
672,Chandbali,IN,71.33,heavy intensity rain,20.7833,86.7667,KABITA HOMES
673,Kinkala,CG,79.97,scattered clouds,-4.3614,14.7644,Hotel la Pepeche Kinkala
675,Florianopolis,BR,70.38,scattered clouds,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
681,Ciudad Bolivar,VE,74.44,overcast clouds,8.1222,-63.5497,Hotel Edi
683,Yangjiang,CN,74.95,scattered clouds,21.85,111.9667,HUALUXE Yangjiang City Center
685,Bathsheba,BB,79.41,few clouds,13.2167,-59.5167,Atlantis Hotel
697,Wagga Wagga,AU,72.01,clear sky,-35.1167,147.3667,The Club Motel and Apartments
704,Nazret,ET,73.44,clear sky,8.55,39.2667,Liben Guesthouse
706,Fayaoue,NC,79.66,few clouds,-20.65,166.5333,Chez Dydyce Guesthouse
710,Ewa Beach,US,73.35,light rain,21.3156,-158.0072,Uncle Junior Robert
