City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
120,Surt,LY,31.2089,16.5887,57.22,62,5,16.89,clear sky
121,Tiksi,RU,71.6872,128.8694,-14.8,94,100,0.02,overcast clouds
122,New Norfolk,AU,-42.7826,147.0587,63.91,49,9,1.01,clear sky
123,Norrtalje,SE,59.758,18.705,22.23,85,98,8.39,overcast clouds
124,Bilibino,RU,68.0546,166.4372,-28.57,92,100,4.41,overcast clouds
125,Nikolskoye,RU,59.7035,30.7861,6.03,91,83,6.76,broken clouds
126,Yazman,PK,29.1212,71.7446,78.46,13,0,2.37,clear sky
127,Lavrentiya,RU,65.5833,-171.0,21.25,95,100,38.25,snow
128,Qaanaaq,GL,77.484,-69.3632,9.36,68,93,7.38,overcast clouds
129,Atasu,KZ,48.6814,71.6433,30.25,70,97,2.44,overcast clouds
130,Lata,PT,40.1629,-8.3327,51.93,83,99,6.91,overcast clouds
131,Acapulco,MX,16.8634,-99.8901,76.82,88,1,3.44,clear sky
132,Sampit,ID,-2.5333,112.95,84.11,69,100,3.98,overcast clouds
133,Chernihiv,UA,51.0,32.0,30.24,82,31,8.34,scattered clouds
134,Abha,SA,18.2164,42.5053,71.85,8,0,8.05,clear sky
135,Carnarvon,AU,-24.8667,113.6333,82.47,65,2,14.97,clear sky
136,Hwange,ZW,-18.3693,26.5019,89.82,26,94,6.58,overcast clouds
137,Bethel,US,41.3712,-73.414,41.09,54,1,3.0,clear sky
138,Chute-Aux-Outardes,CA,49.1168,-68.399,9.66,83,93,5.39,overcast clouds
139,Ukiah,US,39.1502,-123.2078,53.02,90,1,0.0,clear sky
140,Bengkulu,ID,-3.8004,102.2655,77.74,86,100,9.73,overcast clouds
141,Catamarca,AR,-28.4696,-65.7852,72.5,95,99,1.99,overcast clouds
142,Norfolk,US,42.1668,-71.2495,39.04,76,1,0.0,clear sky
143,Upernavik,GL,72.7868,-56.1549,22.77,80,100,9.15,overcast clouds
144,Lagoa,PT,39.05,-27.9833,62.91,76,59,13.24,broken clouds
